coin,size,entry_price,position_value,unrealized_pnl,leverage,margin_used,timestamp,human_time
BTC,9e-05,112550.0,10.6362,0.5067,40.0,0.265905,1755203450794,2025-08-14 20:30:50
BTC,9e-05,112550.0,10.59147,0.46197,40.0,0.264786,1755355380992,2025-08-16 14:43:00
BTC,4.61302,108384.3,499862.23418,-117.17059,40.0,12496.555854,1756508834407,2025-08-29 23:07:14
BTC,6.45974,108360.2,699693.19784,-285.98293,40.0,17492.329946,1756511932351,2025-08-29 23:58:52
BTC,1e-05,108360.2,1.09146,0.007858,40.0,0.027286,1756600969903,2025-08-31 00:42:49
BTC,-0.91616,109150.0,100073.07296,-74.20896,40.0,2501.826824,1756601047765,2025-08-31 00:44:07
BTC,-1.8309,109234.9,200126.5245,-128.2837,40.0,5003.163112,1756601290944,2025-08-31 00:48:10
BTC,-1.7511,109234.9,190959.2061,322.08696,40.0,4773.980152,1756631736345,2025-08-31 09:15:36
BTC,-1e-05,109234.9,1.09052,0.001829,40.0,0.027263,1756631754680,2025-08-31 09:15:54
BTC,0.91986,108710.0,99967.62522,-30.35538,40.0,2499.19063,1756633550055,2025-08-31 09:45:50
BTC,1.8405,108664.9,199896.705,-101.1924,40.0,4997.417625,1756633734406,2025-08-31 09:48:54
BTC,2.76156,108633.3,299794.9536,-202.428,40.0,7494.87384,1756634166660,2025-08-31 09:56:06
BTC,3.68338,108594.9,399536.2286,-460.1866,40.0,9988.405715,1756634349567,2025-08-31 09:59:09
BTC,4.6052,108571.9,499512.2284,-483.2204,40.0,12487.80571,1756634507385,2025-08-31 10:01:47
BTC,5.52753,108546.5,599267.16495,-727.30245,40.0,14981.679123,1756634721728,2025-08-31 10:05:21
BTC,6.45012,108524.1,699122.05668,-871.94082,40.0,17478.051417,1756635566576,2025-08-31 10:19:26
BTC,7.37348,108496.1,798665.85968,-1328.02582,40.0,19966.646492,1756645321149,2025-08-31 13:02:01
BTC,0.92337,108496.1,100302.91299,120.861363,40.0,2507.572824,1756652607255,2025-08-31 15:03:27
BTC,9e-05,108496.1,9.78831,0.023661,40.0,0.244707,1756656408329,2025-08-31 16:06:48
BTC,0.8988,111246.7,99946.56,-41.996019,40.0,2498.664,1756822732485,2025-09-02 14:18:52
BTC,0.36805,111246.7,40923.11145,-21.245516,40.0,1023.077786,1756822778633,2025-09-02 14:19:38
BTC,-0.89862,111270.0,99998.4336,-8.9862,40.0,2499.96084,1756822829478,2025-09-02 14:20:29
BTC,-1.79564,111374.9,200483.206,-493.969,40.0,5012.08015,1756823489937,2025-09-02 14:31:29
BTC,-2.69105,111476.4,300523.00875,-534.38295,40.0,7513.075218,1756823630747,2025-09-02 14:33:50
BTC,-1e-05,111476.4,1.11354,0.001224,40.0,0.027838,1756824529874,2025-09-02 14:48:49
ETH,132.2659,4534.19,601386.59412,1667.446637,25.0,24055.463764,1755203450794,2025-08-14 20:30:50
ETH,154.3604,4532.93,698465.37396,-1240.223823,25.0,27938.614958,1755204018799,2025-08-14 20:40:18
